ACCIDENT_DATE,ACCIDENT_NO,ACCIDENT_TIME,ACCIDENT_TYPE,ALCOHOLTIME,ALCOHOL_RELATED,BICYCLIST,DAY_OF_WEEK,DCA_CODE,DEG_URBAN_ALL,DEG_URBAN_NAME,DRIVER,FATALITY,FEMALES,HEAVYVEHICLE,HIT_RUN_FLAG,INJ_OR_FATAL,LATITUDE,LGA_NAME,LGA_NAME_ALL,LIGHT_CONDITION,LONGITUDE,MALES,MOTORCYCLE,MOTORIST,NODE_TYPE,NONINJURED,NO_OF_VEHICLES,Number of Records,OBJECTID,OLD_DRIVER,OLD_PEDESTRIAN,OTHERINJURY,PASSENGERVEHICLE,PASSENGER,PEDESTRIAN,PED_CYCLIST_13_18,PED_CYCLIST_5_12,PILLION,POLICE_ATTEND,PUBLICVEHICLE,REGION_NAME,REGION_NAME_ALL,RMA,RMA_ALL,ROAD_GEOMETRY,RUN_OFFROAD,SERIOUSINJURY,SEVERITY,SPEED_ZONE,SRNS,SRNS_ALL,STAT_DIV_NAME,TOTAL_PERSONS,UNKNOWN,UNLICENCSED,YOUNG_DRIVER
17/2/18,T20180003345,01.55.00,Collision with a fixed object,Yes,No,0,Saturday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,MELB_URBAN,MELB_URBAN,1,0,0,1,No,1,-37.82729,MELBOURNE,MELBOURNE,Dark Street lights on,144.92872,1,0,0,Non-Intersection,0,1,1,3464162,0,0,0,0,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,Yes,1,Serious injury accident,80 km/hr,M,M,Metro,1,0,0,0
22/2/18,T20180003413,11.35.00,Collision with vehicle,No,No,0,Wednesday,RIGHT NEAR (INTERSECTIONS ONLY),MELB_URBAN,MELB_URBAN,2,0,1,0,No,1,-37.82205,MELBOURNE,MELBOURNE,Day,144.93271,1,0,0,Intersection,1,2,1,3464312,0,0,1,2,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Arterial Other,"Arterial Other,Local Road",T intersection,No,0,Other injury accident,60 km/hr,,,Metro,2,0,0,0
31/1/18,T20180001912,15.47.00,Collision with vehicle,No,No,0,Wednesday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,1,0,1,0,No,2,-37.82658,MELBOURNE,MELBOURNE,Day,144.93079,1,1,1,Intersection,0,2,1,3465536,0,0,1,1,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,1,Serious injury accident,80 km/hr,M,M,Metro,2,0,0,0
12/4/18,T20180006965,17.00.00,Collision with vehicle,No,No,1,Wednesday,RIGHT THROUGH,MELB_URBAN,MELB_URBAN,1,0,1,0,No,1,-37.82397,MELBOURNE,MELBOURNE,Dusk/Dawn,144.9306,1,0,0,Intersection,1,2,1,3466268,0,0,0,1,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,"Local Road,Freeway",T intersection,No,1,Serious injury accident,50 km/hr,M,M,Metro,2,0,0,0
21/3/18,T20180005368,19.00.00,Vehicle overturned (no collision),Yes,No,0,Wednesday,OFF CARRIAGEWAY ON LEFT BEND,MELB_URBAN,MELB_URBAN,1,0,0,1,No,1,-37.82927,PORT PHILLIP,PORT PHILLIP,Day,144.92944,1,0,0,Non-Intersection,0,1,1,3466467,0,0,1,0,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,Yes,0,Other injury accident,80 km/hr,M,M,Metro,1,0,0,0
21/4/18,T20180009166,12.30.00,Vehicle overturned (no collision),No,No,0,Saturday,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,MELB_URBAN,MELB_URBAN,0,0,0,0,No,1,-37.82179,MELBOURNE,MELBOURNE,Day,144.93147,1,1,1,Intersection,0,1,1,3467915,0,0,1,0,0,0,0,0,0,No,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,"Freeway,Arterial Other",Cross intersection,No,0,Other injury accident,50 km/hr,M,M,Metro,1,0,0,0
6/5/18,T20180010070,18.00.00,Collision with vehicle,No,No,0,,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,1,0,0,0,No,1,-37.82713,MELBOURNE,MELBOURNE,Unk.,144.92918,2,1,1,Non-Intersection,2,3,1,3468004,0,0,1,0,0,0,0,0,0,No,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,Not known,M,M,Metro,3,1,0,0
15/7/18,T20180013325,22.16.00,Collision with a fixed object,No,No,0,,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,MELB_URBAN,MELB_URBAN,0,1,0,0,No,1,-37.82539,MELBOURNE,MELBOURNE,Dark Street lights on,144.93097,1,1,1,Non-Intersection,0,1,1,3469010,0,0,0,0,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,Yes,0,Fatal accident,80 km/hr,M,M,Metro,1,0,0,0
14/7/18,T20180013213,15.10.00,Collision with vehicle,Yes,No,0,Saturday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,3,0,2,0,No,2,-37.82659,MELBOURNE,MELBOURNE,Day,144.92969,2,0,0,Non-Intersection,2,3,1,3469627,1,0,0,3,1,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,2,Serious injury accident,80 km/hr,M,M,Metro,4,0,0,0
21/6/18,T20180011587,07.40.00,Collision with vehicle,No,No,0,Thursday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,4,0,1,0,No,1,-37.8208,MELBOURNE,MELBOURNE,Day,144.93184,3,0,0,Non-Intersection,3,4,1,3469980,0,0,1,4,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,80 km/hr,M,M,Metro,4,0,0,2
9/10/18,T20180020882,07.25.00,Collision with vehicle,No,No,0,Monday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,2,0,0,0,No,1,-37.81794,MELBOURNE,MELBOURNE,Day,144.93288,2,0,0,Non-Intersection,1,2,1,3472716,0,0,1,2,0,0,0,0,0,No,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,60 km/hr,M,M,Metro,2,0,0,1
10/10/18,T20180019033,18.00.00,Collision with vehicle,Yes,No,0,Wednesday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,2,0,1,1,No,1,-37.80965,MELBOURNE,MELBOURNE,Day,144.93489,3,1,1,Non-Intersection,3,3,1,3473410,0,0,1,1,1,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Arterial Highway,Arterial Highway,Not at intersection,No,0,Other injury accident,60 km/hr,,,Metro,4,0,0,0